Code,council,year_of_income,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%),
23670,Knox City Council,2020,"88,531",40,"5,603.3","55,096","63,292",79.9,"11,611",44,262.0,"11,909","22,563",6.2,"69,741",44,362.4,118,"5,196",12.1,"1,737",60,46.6,"17,268","26,828",1.1,"97,645",43,"5,989.5","52,301","61,339",4.60,1.78,0.39,0.16,0.431,5.7,17.3,28.2,24.2,25.8,27.1,22.9,"7,129",185.2,"2,200","25,973",15,404,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
63810,Latrobe City Council,2020,"5,774",42,323.2,"49,580","55,972",77.6,"1,082",53,17.2,"7,645","15,904",8.1,"4,117",51,35.7,141,"8,679",11.2,251,62,6.5,"22,168","25,844",2.5,"6,513",47,371.1,"48,301","56,978",4.65,1.77,0.38,0.15,0.453,8.5,19.7,30.0,26.3,28.2,27.0,18.5,450,14.1,"3,897","31,230",-,99,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23940,Loddon Shire Council,2020,"2,890",44,136.6,"42,408","47,279",60.7,"1,395",56,44.0,"19,201","31,520",21.2,"2,680",54,17.9,398,"6,672",15.7,117,57,3.1,"10,000","26,419",1.9,"3,897",51,194.2,"41,106","49,841",6.46,1.84,0.29,0.07,0.513,7.8,21.6,33.2,33.4,27.5,24.6,14.6,319,11.1,"2,648","34,772",-,40,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24130,Macedon Ranges Shire Council,2020,"25,812",43,"1,851.3","58,106","71,721",73.8,"5,199",49,91.8,"8,151","17,653",8.2,"21,238",48,254.7,188,"11,993",15.8,758,60,27.0,"25,892","35,559",1.5,"29,787",46,"2,122.2","54,922","71,247",5.30,1.96,0.37,0.16,0.480,8.1,20.8,32.3,24.0,23.9,23.2,28.9,"2,464",133.8,"3,968","54,317",5,134,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24210,Manningham City Council,2020,"61,224",41,"4,257.9","53,142","69,547",66.9,"10,497",47,291.4,"12,748","27,762",7.0,"61,765",48,941.8,691,"15,248",24.0,"1,422",67,45.4,"24,201","31,953",1.2,"76,788",46,"5,309.0","48,090","69,138",6.66,2.16,0.32,0.12,0.529,10.0,24.3,36.4,29.5,23.6,20.5,26.4,"8,808",378.8,"3,198","43,010",4,214,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24250,Mansfield Shire Council,2020,"4,365",44,218.5,"41,562","50,062",65.1,"1,474",53,22.1,"8,132","15,011",13.4,"3,892",53,46.0,385,"11,809",18.9,154,60,4.5,"19,169","29,042",1.8,"5,429",50,280.6,"40,763","51,692",5.45,1.92,0.35,0.12,0.488,7.2,20.5,32.2,31.7,29.2,23.1,15.9,555,29.4,"4,290","52,889",-,29,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24330,Maribyrnong City Council,2020,"53,031",35,"3,580.1","57,084","67,509",84.5,"8,291",37,178.8,"9,681","21,564",7.0,"36,603",37,163.3,74,"4,460",7.4,688,56,17.8,"16,847","25,936",0.7,"53,991",36,"3,686.1","56,241","68,273",4.71,1.84,0.39,0.20,0.436,5.8,17.9,29.0,22.6,23.9,25.5,28.0,"3,608",92.8,"1,617","25,721",4,500,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24410,Maroondah City Council,2020,"62,430",40,"4,113.6","56,712","65,892",79.5,"8,414",43,179.9,"10,471","21,385",6.0,"49,291",44,317.6,133,"6,442",12.5,"1,471",61,44.6,"21,598","30,318",1.3,"69,044",42,"4,454.3","54,001","64,514",4.73,1.83,0.39,0.17,0.434,5.5,17.3,28.4,23.4,25.0,26.1,25.5,"5,296",150.2,"2,103","28,370",18,312,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24600,Melbourne City Council,2020,"104,551",30,"6,380.8","41,393","61,030",80.4,"13,056",34,436.6,"8,528","33,439",6.0,"69,124",34,856.8,110,"12,396",12.3,"1,109",59,45.1,"21,382","40,637",0.6,"99,941",32,"7,252.5","48,302","72,568",7.18,2.14,0.30,0.12,0.556,14.0,28.5,39.8,31.6,21.1,20.5,26.8,"8,591",550.4,"2,175","64,072",-,87,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24650,Melton City Council,2020,"83,174",37,"5,055.6","55,067","60,783",85.1,"10,753",39,205.3,"11,874","19,094",6.7,"51,149",40,200.4,28,"3,917",6.9,"1,398",52,36.4,"12,125","26,010",0.8,"87,946",39,"5,314.5","53,913","60,429",3.94,1.69,0.43,0.22,0.396,4.6,15.4,25.8,21.6,26.7,29.8,21.9,"2,932",130.5,"2,980","44,510",7,263,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24780,Mildura Rural City Council,2020,"30,494",37,"1,479.5","43,068","48,518",79.2,"5,368",51,91.5,"10,058","17,052",8.2,"19,176",47,140.3,105,"7,316",11.0,626,57,14.7,"11,782","23,555",1.1,"32,069",42,"1,651.6","45,037","51,501",4.90,1.78,0.36,0.16,0.452,5.8,17.6,28.5,28.7,29.2,26.2,15.9,"1,874",79.0,"2,864","42,152",11,236,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24850,Mitchell Shire Council,2020,"24,242",39,"1,471.7","54,704","60,707",82.3,"3,475",45,52.4,"9,600","15,093",6.8,"15,614",44,86.9,45,"5,566",8.8,711,58,20.1,"20,738","28,292",1.5,"26,014",41,"1,561.4","53,184","60,020",4.06,1.69,0.42,0.19,0.411,5.1,16.1,26.6,22.3,26.9,29.2,21.6,"1,167",37.3,"3,664","31,977",-,154,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24900,Moira Shire Council,2020,"13,870",41,696.1,"45,447","50,184",72.8,"3,491",53,46.7,"6,569","13,366",10.2,"10,545",51,87.1,156,"8,258",14.8,435,58,10.2,"11,400","23,494",1.7,"16,213",47,811.4,"43,701","50,049",5.40,1.80,0.33,0.11,0.471,6.1,18.1,29.2,30.4,29.3,25.2,15.1,"1,158",62.2,"3,199","53,705",13,194,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24970,Monash City Council,2020,"98,812",37,"6,296.4","51,173","63,721",72.8,"16,259",41,385.4,"10,497","23,706",7.0,"88,792",44,791.4,267,"8,913",18.2,"2,106",67,65.7,"24,223","31,182",1.2,"115,268",41,"7,230.6","46,746","62,729",6.32,2.08,0.33,0.12,0.500,7.9,21.2,33.2,30.3,24.0,21.4,24.2,"11,614",323.2,"2,703","27,827",12,356,208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25060,Moonee Valley City Council,2020,"70,169",38,"5,279.5","61,287","75,240",77.8,"9,533",42,281.5,"11,026","29,532",5.8,"57,818",43,718.6,269,"12,428",14.6,"1,611",62,52.5,"24,007","32,579",1.3,"76,949",41,"6,036.9","60,555","78,454",5.07,1.89,0.37,0.17,0.475,8.8,21.7,33.0,21.9,21.9,24.0,32.2,"6,964",264.6,"2,503","37,996",4,218,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25150,Moorabool Shire Council,2020,"18,973",40,"1,222.5","57,005","64,434",80.1,"2,843",47,47.0,"8,923","16,517",6.8,"13,350",45,100.7,68,"7,546",11.3,433,58,13.9,"22,221","32,164",1.3,"20,657",43,"1,320.9","55,040","63,944",4.36,1.76,0.40,0.18,0.428,5.5,16.9,27.7,22.3,25.5,27.1,25.1,"1,055",49.6,"3,511","46,987",-,101,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25250,Merri-bek City Council (former Moreland City Council),2020,"103,656",35,"6,900.0","57,077","66,566",82.8,"16,562",37,355.7,"9,872","21,478",7.3,"73,958",38,405.1,102,"5,477",8.6,"1,602",59,44.0,"18,430","27,493",0.8,"107,665",36,"7,254.4","55,965","67,379",4.62,1.83,0.39,0.20,0.433,5.9,17.7,28.6,22.4,24.5,25.5,27.5,"7,323",184.7,"1,766","25,222",4,192,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25340,Mornington Peninsula Shire Council,2020,"78,069",43,"4,881.7","50,063","62,531",67.9,"15,035",49,410.8,"14,330","27,320",8.7,"68,517",51,"1,175.4",317,"17,154",20.5,"2,694",62,82.8,"23,528","30,753",1.7,"95,789",48,"6,333.7","48,352","66,121",5.41,1.99,0.37,0.14,0.504,10.4,24.0,35.4,27.0,26.5,22.9,23.6,"8,998",585.7,"4,289","65,088",27,827,407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25430,Mount Alexander Shire Council,2020,"8,470",46,470.1,"48,211","55,507",67.3,"2,588",53,43.2,"8,164","16,681",12.3,"7,490",53,63.7,300,"8,502",17.6,297,60,8.1,"17,591","27,357",1.8,"10,577",50,562.5,"43,234","53,181",6.15,1.95,0.32,0.11,0.481,6.6,19.0,30.5,31.4,26.9,23.2,18.4,947,28.9,"2,758","30,487",-,77,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25490,Moyne Shire Council,2020,"8,104",40,419.4,"45,286","51,748",64.4,"3,260",54,119.8,"18,235","36,743",18.6,"7,240",51,77.4,338,"10,688",15.5,182,59,3.9,"14,416","21,395",0.9,"10,301",47,600.5,"47,001","58,300",5.03,1.86,0.37,0.13,0.480,7.9,21.0,32.0,27.5,27.3,25.5,19.8,936,50.1,"3,834","53,569",-,53,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25620,Murrindindi Shire Council,2020,"6,793",45,376.2,"47,170","55,385",69.3,"2,072",54,27.5,"7,647","13,265",12.7,"5,514",53,49.2,187,"8,919",15.7,226,58,6.6,"20,549","29,072",1.6,"8,224",49,434.6,"43,040","52,851",5.77,1.92,0.33,0.11,0.489,6.8,19.8,31.4,30.6,28.6,23.6,17.2,583,18.8,"3,836","32,297",-,78,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25710,Nillumbik Shire Council,2020,"35,203",44,"2,610.9","59,749","74,166",74.4,"5,693",48,142.9,"11,776","25,101",7.0,"30,672",48,410.0,313,"13,368",16.6,842,60,28.7,"25,581","34,114",1.2,"40,348",47,"3,054.3","58,670","75,698",5.20,1.94,0.37,0.16,0.471,7.9,20.5,31.9,22.5,23.0,22.7,31.8,"3,583",118.8,"2,868","33,156",-,102,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25810,Northern Grampians Shire Council,2020,"5,542",42,280.4,"46,352","50,599",71.9,"1,431",56,44.1,"14,585","30,836",12.2,"4,291",53,28.6,281,"6,670",14.0,173,58,4.5,"10,740","25,868",1.6,"6,519",48,345.2,"45,838","52,957",5.30,1.77,0.33,0.11,0.466,6.4,18.8,29.9,28.7,28.5,26.3,16.6,471,12.3,"2,655","26,144",7,58,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25900,Port Phillip City Council,2020,"72,460",35,"6,045.6","63,189","83,434",77.1,"11,852",41,451.7,"10,682","38,109",7.0,"55,511",40,954.2,242,"17,190",14.0,"1,282",60,47.6,"20,929","37,114",0.9,"75,243",38,"7,066.9","65,804","93,921",5.27,1.95,0.37,0.17,0.519,12.2,27.1,38.2,20.5,20.0,23.0,36.6,"8,213",630.8,"3,572","76,801",5,74,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25990,Pyrenees Shire Council,2020,"3,080",45,155.9,"44,955","50,618",69.6,"1,008",54,13.0,"4,656","12,933",12.8,"2,423",51,16.3,192,"6,717",15.1,105,56,2.5,"10,000","23,877",1.7,"3,738",49,179.3,"41,643","47,967",6.31,1.87,0.30,0.08,0.497,5.4,18.2,30.0,33.3,28.0,24.0,14.7,282,14.8,"2,678","52,471",-,52,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26080,Queenscliffe Borough Council,2020,"1,307",49,82.5,"48,817","63,098",51.5,336,58,8.1,"10,238","24,078",7.9,"1,715",61,40.8,"2,358","23,788",36.5,96,65,3.9,"28,211","41,099",3.0,"2,030",59,132.4,"45,063","65,222",7.82,2.16,0.28,0.10,0.548,11.0,25.8,37.7,33.6,21.6,20.7,24.1,346,27.1,"7,368","78,230",-,24,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26170,South Gippsland Shire Council,2020,"13,179",43,699.8,"45,484","53,099",65.0,"5,036",54,110.0,"12,217","21,835",16.2,"11,850",52,102.5,263,"8,652",16.5,395,59,10.1,"17,366","25,653",1.5,"16,972",49,892.8,"43,165","52,604",5.52,1.92,0.35,0.12,0.481,6.4,19.1,30.5,30.5,28.1,23.5,17.8,"1,383",56.6,"3,469","40,928",5,119,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26260,Southern Grampians Shire Council,2020,"7,765",42,385.8,"45,418","49,690",67.6,"2,703",55,67.2,"12,256","24,853",14.7,"6,931",52,64.5,400,"9,309",16.1,228,57,4.8,"9,973","21,053",1.2,"9,548",48,502.9,"45,432","52,668",5.03,1.77,0.35,0.11,0.473,6.7,19.2,30.4,29.1,28.6,26.2,16.1,972,34.5,"2,002","35,442",-,60,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26350,Stonnington City Council,2020,"66,485",34,"6,034.2","64,813","90,760",70.3,"10,994",43,675.8,"11,804","61,474",6.2,"60,542",40,"2,181.5",645,"36,033",21.6,"1,187",63,46.8,"25,223","39,424",0.8,"76,253",38,"8,625.2","68,889","113,113",5.71,2.03,0.36,0.16,0.582,18.2,34.8,45.7,20.3,18.9,21.9,38.9,"11,362","1,066.4","4,666","93,858",-,82,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26430,Strathbogie Shire Council,2020,"4,927",44,262.9,"47,188","53,352",67.7,"1,695",58,10.5,"2,825","6,179",11.7,"4,206",55,43.4,227,"10,318",18.1,186,60,5.7,"23,085","30,834",1.8,"6,092",51,308.1,"43,302","50,568",6.16,1.84,0.30,0.08,0.500,6.8,19.6,31.1,32.3,27.1,24.7,16.0,578,21.0,"4,431","36,341",-,76,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26490,Surf Coast Shire Council,2020,"17,711",41,"1,175.7","53,102","66,383",67.5,"4,329",48,110.9,"10,962","25,626",9.7,"16,480",48,289.0,432,"17,536",20.8,505,60,17.7,"22,925","34,976",1.3,"21,994",46,"1,552.5","52,224","70,586",5.59,1.99,0.35,0.14,0.504,10.4,23.3,34.7,26.2,23.9,22.2,27.7,"2,363",130.7,"4,660","55,302",-,91,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26610,Swan Hill Rural City Council,2020,"11,809",37,537.8,"40,397","45,544",75.1,"2,509",52,77.5,"14,015","30,883",10.8,"7,756",47,82.0,259,"10,573",12.9,197,53,3.3,"9,266","16,628",0.7,"12,690",42,664.0,"44,327","52,327",4.90,1.79,0.37,0.16,0.459,6.9,19.1,30.0,29.6,29.0,25.7,15.7,781,37.7,"1,838","48,307",-,55,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26670,Towong Shire Council,2020,"2,741",45,143.6,"45,840","52,398",64.4,"1,241",58,22.8,"9,902","18,402",18.0,"2,531",55,29.0,310,"11,460",15.1,115,58,3.3,"23,790","29,053",1.8,"3,560",52,192.7,"42,687","54,138",5.70,1.89,0.33,0.11,0.516,10.5,22.6,33.7,31.4,26.6,25.5,16.5,275,8.2,"3,655","29,697",-,49,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26700,Wangaratta Rural City Council,2020,"14,639",42,797.3,"49,046","54,466",74.8,"3,392",54,56.3,"7,000","16,586",9.0,"11,476",51,90.1,222,"7,855",14.6,387,59,8.4,"12,408","21,788",1.2,"16,800",47,915.3,"46,850","54,480",4.93,1.77,0.36,0.13,0.453,6.9,18.7,29.4,27.6,28.4,26.5,17.5,"1,282",34.4,"3,060","26,837",-,132,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26730,Warrnambool City Council,2020,"19,186",39,"1,041.2","48,627","54,270",77.5,"2,833",49,82.2,"13,448","29,003",6.9,"14,144",47,144.1,169,"10,188",14.4,416,59,9.5,"14,555","22,824",1.0,"21,207",43,"1,241.2","50,144","58,529",4.43,1.73,0.39,0.17,0.431,6.5,18.4,28.9,24.9,27.5,28.1,19.5,"1,572",50.0,"2,466","31,783",7,120,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26810,Wellington Shire Council,2020,"20,622",41,"1,234.8","49,656","59,879",74.7,"4,983",53,40.2,"4,423","8,067",9.5,"15,688",50,142.0,135,"9,050",13.4,752,60,21.0,"21,555","27,880",1.8,"23,837",46,"1,396.9","46,503","58,601",5.57,1.91,0.34,0.12,0.507,8.9,21.9,33.3,28.5,27.1,24.0,20.3,"1,731",41.3,"3,027","23,866",15,202,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26890,West Wimmera Shire Council,2020,"1,673",42,77.2,"41,314","46,174",54.3,"1,154",56,63.7,"25,387","55,191",30.9,"1,815",53,14.8,646,"8,166",13.7,52,53,1.0,"5,984","19,121",0.6,"2,357",51,152.8,"47,573","64,826",6.51,2.00,0.31,0.10,0.558,9.2,26.0,38.2,28.8,25.4,22.7,23.1,269,16.6,"1,345","61,583",-,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26980,Whitehorse City Council,2020,"89,594",38,"5,988.7","52,721","66,842",73.4,"13,739",43,343.9,"10,569","25,031",6.5,"80,278",44,696.6,306,"8,677",17.9,"2,208",67,66.4,"23,985","30,073",1.3,"103,783",43,"6,787.3","48,608","65,399",6.46,2.10,0.32,0.12,0.503,7.8,21.5,33.5,29.7,23.1,21.3,25.9,"11,607",322.0,"2,550","27,744",10,372,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27070,Whittlesea City Council,2020,"113,861",37,"6,706.8","52,884","58,903",83.1,"16,660",38,318.4,"12,642","19,113",7.7,"75,209",40,305.5,42,"4,062",8.0,"1,802",55,46.5,"13,457","25,829",0.8,"122,029",38,"7,101.7","51,170","58,197",4.06,1.72,0.42,0.21,0.403,4.7,15.7,26.2,23.1,28.1,28.7,20.0,"4,730",145.1,"2,452","30,669",6,331,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27170,Wodonga City Council,2020,"22,089",39,"1,264.4","53,368","57,239",81.4,"2,764",48,60.3,"9,749","21,822",5.6,"14,967",46,94.0,88,"6,283",9.7,"1,097",59,33.4,"25,754","30,433",2.9,"24,170",42,"1,412.1","52,498","58,423",3.91,1.64,0.42,0.18,0.401,5.6,16.3,26.4,22.4,27.4,31.0,19.1,"1,411",38.7,"2,082","27,398",25,286,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27260,Wyndham City Council,2020,"144,331",36,"8,914.5","54,596","61,764",83.5,"23,412",36,438.9,"11,911","18,745",8.3,"90,652",38,270.9,22,"2,989",6.8,"2,279",56,60.7,"18,312","26,628",0.9,"154,455",37,"9,342.2","52,327","60,485",4.35,1.76,0.40,0.20,0.416,5.0,16.3,27.1,23.8,26.2,27.6,22.3,"6,058",144.2,"2,450","23,802",18,337,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27350,Yarra City Council,2020,"61,458",34,"5,095.4","67,032","82,909",81.0,"10,120",38,392.5,"9,847","38,782",6.6,"47,357",36,572.4,221,"12,087",10.9,"1,019",60,36.1,"21,967","35,417",0.8,"63,066",35,"5,709.4","69,025","90,530",4.53,1.82,0.40,0.20,0.477,9.8,23.5,34.4,18.1,19.7,24.6,37.5,"7,041",334.6,"2,312","47,515",-,137,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27450,Yarra Ranges Shire Council,2020,"83,700",41,"5,175.2","53,719","61,830",77.7,"14,057",47,304.8,"11,963","21,681",7.9,"62,880",46,586.1,110,"9,322",12.6,"1,789",59,50.0,"16,881","27,940",1.1,"92,947",44,"5,823.9","52,188","62,658",4.42,1.79,0.40,0.18,0.438,6.9,18.5,29.3,23.4,26.7,26.8,23.1,"5,682",191.1,"2,559","33,627",7,410,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27630,Yarriambiack Shire Council,2020,"2,755",43,130.1,"43,791","47,241",60.7,"1,258",56,87.5,"39,512","69,564",23.7,"2,584",54,23.2,614,"8,970",14.1,67,57,1.3,"10,000","19,302",1.1,"3,602",51,236.3,"50,362","65,589",5.71,1.91,0.33,0.12,0.497,6.7,21.8,34.3,26.7,25.5,24.0,23.8,366,15.6,"2,213","42,665",-,40,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,